,"Bend Genetics, LLC",,,Customer:,Big Valley Rancheria,,
,"107 Scripps Drive, Ste. 210",,,,Analysis for Toxigenic Cyanobacteria,,
,"Sacramento, CA 95825",,,Project #:,HABS/317,,
,Tel: (916) 550-1048,,,Reported:,2/21/2023 15:05,,
,,,,,,,
,,,,,,,
ANALYTICAL REPORT FOR SAMPLES,,,,,,,
Sample ID,Location,Date Collected,Date Received,Matrix,Preserved,BG_ID,
2162,JB,2/15/2023 9:13,2/17/2023 9:08,Water,N,BV736,
2163,CL-3,2/2/2023 10:30,2/17/2023 9:08,Water,N,BV737,
2164,LA-03,1/27/2023 12:45,2/17/2023 9:08,Water,N,BV738,
2165,OA-04,1/27/2023 11:45,2/17/2023 9:08,Water,N,BV739,
2166,Site1_B,2/10/2023 9:44,2/17/2023 9:08,Water,N,BV740,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Page 2 of 4
,"Bend Genetics, LLC",,,Customer:,Big Valley Rancheria,,
,"107 Scripps Drive, Ste. 210",,,,Analysis for Toxigenic Cyanobacteria,,
,"Sacramento, CA 95825",,,Project #:,HABS/317,,
,Tel: (916) 550-1048,,,Reported:,2/21/2023 15:05,,
,,,,,,,
,,,,,,,
SAMPLE RESULTS,,,,,,,
Sample ID,Method,Target,Result,Quantitation Limit,Units,Notes,
2162,ELISA,Microcystin/Nod.,0.26,0.15,µg/L,,
,,,,,,,
2163,ELISA,Microcystin/Nod.,0.3,0.15,µg/L,,
,,,,,,,
2164,ELISA,Microcystin/Nod.,ND,0.15,µg/L,,
,,,,,,,
2165,ELISA,Microcystin/Nod.,ND,0.15,µg/L,,
,,,,,,,
2166,ELISA,Microcystin/Nod.,0.3,0.15,µg/L,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Page 3 of 4
,"Bend Genetics, LLC",,,Customer:,Big Valley Rancheria,,
,"107 Scripps Drive, Ste. 210",,,,Analysis for Toxigenic Cyanobacteria,,
,"Sacramento, CA 95825",,,Project #:,HABS/317,,
,Tel: (916) 550-1048,,,Reported:,2/21/2023 15:05,,
,,,,,,,
,,,,,,,
QUALITY CONTROL,,,,,,,
Method,   Analyte,Result,Qualifiers / Comments,Units,Spike Level,%REC,%REC Limits
ELISA,MC - Blank,ND,U,µg/L,0,,
ELISA,MC - Positive,0.74,,µg/L,0.75,99.3,70-130
ELISA,MC - Matrix Sp,1.02,,µg/L,1,101.7,70-130
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
QUALIFIERS/COMMENTS/NOTES,,,,,,,
C1,The reported concentration for this analyte is below the quantification limit.,,,,,,
C2,The reported concentration for this analyte is above the calibration range of the instrument.,,,,,,
J,The reported result for this analyte should be considered an estimated value.,,,,,,
U,Undetected,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Page 4 of 4
